gt_answer,pred,question,balanced,perfect_match
no,yes,Are there breads in the image?,False,0
yes,yes,Is the red vehicle to the right of a woman?,False,1
no,yes,Do you see any batters to the left of the person who is wearing a glove?,False,0
yes,,Is the green vegetable above a sausage?,False,0
yes,yes,Are there any people to the left of the white truck?,False,1
yes,orange image,Is there an orange or a pear in the image?,False,0
yes,yes,Does the truck look large and pink?,True,1
yes,yes,Is the polo shirt purple and striped?,False,1
right,,On which side is the dog?,False,0
black,beige,Does the bag to the left of the laptop computer look beige or black?,False,0
brown,brown,Is the animal to the left of the other animal brown or white?,False,1
no,yes,Are there both a bench and a snowboard?,False,0
yes,,Are there both people and women in the picture?,False,0
no,,Are there knee pads or bulbs?,False,0
yes,yes,Is the chain made of metal?,False,1
no,yes,Do you see either CDs or dry-erase boards?,False,0
no,,Are there chairs in this image?,False,0
no,yes,Are there any vases in the picture?,False,0
no,,Are there any napkins or carts in the image?,False,0
no,yes,Are there any glasses or fences in the photograph?,False,0
no,yes plate vegetables,Is there a plate that is not white?,False,0
no,yes,Are there fences in the picture?,False,0
yes,yes,Is it outdoors?,False,1
yes,yes,Do you see men to the left of the lady that is wearing a watch?,False,1
no,,Are there either any cabinets or chairs?,True,0
metal,,"What was used to make that pipe, wood or metal?",False,0
yes,,Is the cat to the left of a pillow?,False,0
no,,Is the person to the right of the cow wearing a helmet?,False,0
yes,yes,Are there boats in this picture?,False,1
no,,Is there a fork to the left of the plate that is of the donuts?,False,0
yes,yes,Is there a white towel or bottle?,False,1
road,park,The woman to the left of the laptop is walking where?,False,0
no,,Is the chair made of wicker?,False,0
no,,Are there any fences?,False,0
yes,sheep,Is there a sheep or an elephant that is walking?,False,0
yes,yes,Do you see any ice or snow in the picture?,False,1
no,,Are there fences?,False,0
yes,yes,Are there tall clock towers in the image?,False,1
no,yes,Are there any laptops on the table?,False,0
no,yes,Is the rug red?,False,0
broccoli,broccoli,What vegetable isn't crispy?,True,1
yes,yes,Does the computer mouse that is to the right of the keyboard look pink?,False,1
man,skating,Who are the spectators watching?,False,0
no,yes,Are there any tennis rackets in the picture?,False,0
yes,yes,Is the bag on the right?,False,1
laptop,laptop,What device is to the right of the girl?,False,1
yes,yes,Are there both clock towers and clocks in this picture?,False,1
yes,,Are there white plates or cakes?,False,0
no,,Do you see any words in this image that are not white?,False,0
no,yes,Are there any bookcases behind the chair?,False,0
yes,yes,Is there any green grass in the photo?,False,1
yes,yes,Is the giraffe below the tree that is not little?,False,1
yes,yes,Does the woman's shirt have pink color?,False,1
white,,"Which color is the plate to the left of the spoon, white or green?",False,0
grass,corner,The bus is where?,False,0
no,,Are there both mats and benches in this photograph?,False,0
yes,yes,Is the wood chair to the right of a bed?,False,1
no,,Does the vehicle that is not short have blue color?,False,0
no,yes,Is it indoors?,False,0
no,,Is the woman to the left of the pillow on the left?,False,0
bus,hippie van,What is the name of the vehicle?,False,0
yes,yes,Are there any trucks or vehicles?,False,1
no,yes,Are there any helmets to the right of the man on the left side?,False,0
no,yes,Are there any mirrors?,False,0
bench,watching,What is in front of the animal that the man is watching?,False,0
no,yes,Are there bicycles in the photograph?,False,0
no,yes,Is there a chair to the left of the device that is to the left of the screen?,False,0
white,blaster,The logo is of what color?,False,0
pans,using laptop,What are the cooking utensils to the left of the woman that is using a laptop?,False,0
no,yes,Is there a bed near the chair in front of the piano?,False,0
no,yes,Is there a flag in the picture?,False,0
blue,yellow,"How do the containers behind the girl look like, yellow or blue?",False,0
trees,cows,What is the pasture in front of?,False,0
brown,brown,"What color is the skateboard, brown or green?",False,1
right,,Is the bookshelf on the left or on the right side of the photo?,False,0
yes,,Is the bread to the right of the cookies?,False,0
no,paper tie,Is there a tie that is made out of paper?,False,0
no,yes,Is this a white stove?,False,0
no,yes,Are there any fences to the left of the person that the man is to the left of?,False,0
yes,yes,Is that a large giraffe?,False,1
stuffed bear,teddy bear,What toy is this?,False,0
no,yes,Are there boys to the right of the woman on the left?,False,0
no,yes,Are there either fences or helmets in this image?,False,0
yes,yes,Are there benches to the left of the fence on the right?,False,1
no,,Is there an airplane on the ground?,False,0
yes,yes,Do you think the sky is cloudy?,False,1
yes,,Is there either any lettuce or cheese in this picture?,False,0
yes,yes,Are there any onions or peppers?,False,1
brown,pink,What color is the car the person is sitting in?,False,0
no,yes,Do you see a computer mouse to the right of the keyboard?,False,0
no,yes,Is the pot on the left side?,False,0
no,yes,Are there both planters and fences in the scene?,False,0
yes,yes,Is the cup to the right of a tray?,False,1
yes,yes,Do you see either large chimneys or bridges?,False,1
no,yes,Do you see both men and women?,False,0
no,yes,Is the fire hydrant to the right of the man?,False,0
no,yes,Do you see any mushrooms there?,False,0
no,yes,Do you see a kite to the left of the helmet in the top part of the picture?,False,0
yes,,Do you see any red plate or tomato?,False,0
thin,short,Is that surfboard thin or thick?,False,0
yes,yes,Is there any oven in this image?,False,1
yes,,Are the catcher and the player to the left of the ball both playing?,False,0
sky,right,Where are the power lines?,False,0
bat,bat,The batter is holding what?,False,1
no,plane,Is there a fence or a plane in the image?,False,0
jumping,jumping,"How does the man to the right of the racket seem to be, jumping or sitting?",False,1
yes,,Is there any purple lettuce in this photo?,False,0
yes,yes,Are there lamps to the right of the phone on the left side?,False,1
no,,Is the book on the right side of the photo?,False,0
no,yes,Are there any brown coats?,False,0
no,yes,Are there fences in this photo?,False,0
no,,Is the truck different in color than the shirt?,False,0
carriage,horse,What do you think is pulled by the white animal?,True,0
no,yes,Is this boy wearing a helmet?,False,0
no,,Do you see any counters in front of the person the lamp post is behind of?,False,0
table,,What type of furniture is presented in this photo?,False,0
no,yes,Are there buses or boxes in this image?,False,0
yes,yes,Does the sweater have brown color?,False,1
no,,Are there boys to the right of the catcher who is to the right of the umpire?,False,0
shirt,wetsuit,What is this boy wearing?,False,0
no,yes,Are there pictures in this picture?,False,0
yes,yes,Do the kite and the sky have a different colors?,False,1
no,tennis ball,Do you see glasses or girls there?,False,0
no,yes,Do you see TVs in this image?,False,0
no,yes,Are there fences in the image?,False,0
no,,Are there bottles in this picture?,False,0
no,yes,Are the French fries to the left of a sandwich?,False,0
no,,Does the tie have gold color?,False,0
no,yes,Are there any muffins in the photograph?,False,0
no,yes,Is the closed cabinet to the right of the appliance the dog watches?,False,0
no,,Are there either black TVs or cell phones?,False,0
no,yes,Are there any chairs or buses?,False,0
bus,bus,How is the white vehicle called?,False,1
no,yes,Are there glasses in this image?,False,0
yes,yes,Is there a wood fence in this photograph?,False,1
no,yes,Are there guys to the left of the traffic cone that is to the right of the boy?,False,0
no,yes,Are there glasses or fences?,False,0
green,yellow,Of what color are the trees next to the highway?,False,0
bottom,,Is the mug in the top or in the bottom part of the image?,False,0
no,yes,Is the weather sunny?,False,0
no,,Are there either any chairs or curtains?,False,0
yes,,Are all the animals sheep?,False,0
large,small,Is the vehicle that looks orange and yellow small or large?,False,0
no,yes,Does the tractor have a different color than the tree?,False,0
man,man white shirt,Who is wearing flip flops?,False,0
no,yes,Are there chairs in the image?,False,0
yes,yes,Is the cone in the top part of the picture?,False,1
no,yes,Are there boats or skis in this image?,False,0
no,yes,Are there either cars or footballs in this picture?,False,0
no,yes,Are there plates that are blue in the picture?,False,0
no,yes,Are there any benches to the right of the person that is to the right of the person?,False,0
woman,trees person,Who is before the trees?,False,0
no,yes,Is there a pink tie in the photograph?,False,0
no,yes,Are there any rugs?,False,0
yes,yes,Are there blankets in the photo that are blue?,False,1
yes,yes,Is the plate near the knife rounded and white?,False,1
no,,Is the brown floor made of marble?,False,0
no,yes,Are there mirrors to the right of the bike that is to the right of the man?,False,0
yes,yes,Is the cow's horn large and thick?,False,1
no,yes,Do the car and the box have the same color?,False,0
no,,Is there any bag to the right of the chair?,False,0
no,yes,Are there short knives in the picture?,False,0
no,,Is this curtain behind a dog?,False,0
yes,,Is the wall behind the woman who is wearing earrings?,False,0
yes,,Is the color of the mask brown?,False,0
yes,yes,Does the tree that is not short have green color?,False,1
no,backpack,Do you see a tennis racket or a backpack in the image?,False,0
yes,fried spring rolls,Is there any food in the picture?,False,0
no,yes,Are there any trailers or fences?,False,0
yes,yes,Are there any open umbrellas in this photo?,False,1
no,,Do the plate and the dish have a different colors?,False,0
outdoors,indoors,Is it an indoors or outdoors picture?,False,0
bananas,pineapples,Are these pineapples or bananas?,False,0
yes,yes,Is there a surfboard that is striped?,False,1
no,,Do you see people to the right of the person on the right side?,False,0
yes,grass,Is there either grass or sand in the image?,False,0
left,right,"On which side is the fence, the left or the right?",False,0
yes,yes,Does the fork have gray color?,False,1
no,yes,Are there any people to the left of the red bag?,False,0
no,yes,Are there both notepads and toys in this photograph?,False,0
left,,Is the book on the right or on the left?,False,0
right,right,Which side of the picture is the toilet on?,True,1
yes,yes,Do you see a pot to the left of the dark statue?,False,1
no,,Are there both a bat and a ball in the photo?,False,0
no,yes,Are there cars or planes in the photo?,False,0
no,,Are there any light bulbs?,False,0
yes,yes,Does the tower look gray?,False,1
yes,,Do you see any dogs in this image that are small?,False,0
no,yes,Do you see a lamp to the right of the computer on the table?,False,0
no,yes,Is the skillet on the left side?,False,0
sitting,writing,What is the woman at the picnic table doing?,False,0
no,yes,Are any lamps observable?,False,0
yes,yes,Are there any buses to the right of the yellow car?,False,1
no,yes,Are there either any pepper shakers or safety vests in the picture?,False,0
no,yes,Are there any American flags?,False,0
no,yes,Are there any dish drainers or rackets in the photo?,False,0
yes,yes,Is there any window or door in the image?,False,1
left,left,Is the person to the right or to the left of the vehicle next to the sidewalk?,True,1
no,yes,Are there either any trains or clocks?,False,0
yes,yes,Are the shirt and the sweater both striped?,False,1
no,,Is there a cat to the left of the container that is made of plastic?,False,0
zebras,gnus,What is the name of the animals to the right of the animals that are running?,False,0
yes,yes,Do you see either any blue surf board or wetsuit?,True,1
yes,yes,Are there women or men?,False,1
wood,sailboat,"What is used to make the dock near the water, metal or wood?",False,0
yes,yes,Is the propeller black?,False,1
no,,Does the person to the left of the person wear goggles?,True,0
yes,yes,Do you see a woman to the right of the man on the motorbike?,False,1
yes,,Do the sandals look brown?,False,0
no,,Is there any chair or cup in this picture?,False,0
yes,,Is there a metallic fence or fire hydrant?,False,0
no,yes,Are there any skiers on the mountain that is covered in snow?,False,0
yes,yes,Does the man to the right of the other man appear to be running?,False,1
no,yes,Does the porch look dry?,False,0
no,yes,Is the guy to the left of the person that is to the right of the bag?,False,0
no,yes,Is that man happy?,False,0
no,yes,Are there hairbrushes in the picture?,False,0
yes,yes,Do you see a bottle to the right of the man that is wearing a shirt?,False,1
car,transport,What type is the vehicle?,False,0
no,yes,Are there any girls or rackets?,False,0
yes,,Is the umbrella the same color as the purse?,False,0
spots,giraffe,What is on the animal in front of the tree?,False,0
yes,cup,Do you see a cup or a laptop in this image?,False,0
no,yes,Are there any buses or cars in the photo?,False,0
yes,yes,Are there round clocks or mirrors?,False,1
no,,Is there a pillow in this photo?,False,0
lemon,cucumber,What vegetable is on the fruits near the orange?,False,0
no,,Does the person to the left of the woman appear to be posing?,False,0
yes,yes,Are the clouds white?,False,1
yes,yes,Is the car to the right of the passenger?,False,1
no,,Do you see a bottle to the left of the computer the man is working on?,False,0
right,left,Is the red vehicle to the left or to the right of the person that is wearing jeans?,False,0
child,,Who is wearing trousers?,True,0
no,yes,Do you see a fork to the right of the knife made of metal?,False,0
tall,tall,Are the mountains tall or are they short?,False,1
tent,tent,Where does the chandelier hang?,False,1
yes,yes,Is the drawer in the bottom?,False,1
yes,yes,Is the mirror in the top part?,False,1
no,yes,Is there any green grass in the picture?,False,0
no,,Do you see a laptop to the left of the telephone that is in the middle of the photo?,False,0
no,yes,Does the plate look blue and square?,False,0
no,,Does the frisbee look yellow?,False,0
blue,blue shirt,What color is the car the woman leans on?,False,0
no,yes,Are there both window and a door in this photograph?,False,0
no,yes,Is there a fence in the picture?,False,0
no,yes,Are there any dumpsters?,False,0
yes,yes,Do you see any speakers that are black?,False,1
yes,,Is there any glass table?,False,0
yes,,Are there any women to the right of the camera on the left?,False,0
television,cat,What is the name of the device that is black?,False,0
yes,,Do you see any grass in this photograph that is not brown?,False,0
comforter,bed,What are the pillows on?,True,0
no,,Does the grass look tan?,False,0
yes,yes,Are there any cars to the right of her?,False,1
yes,yes,Are there both cars and fire hydrants in this scene?,False,1
green,green,Does the apple to the right of the other apple look green or red?,False,1
yes,,Is the shirt yellow?,False,0
no,yes,Is the lamp shade orange?,False,0
no,,Are there any bags to the right of the person that is holding the racket?,False,0
yes,yes,Are there any fences or hats that are orange?,False,1
gray,red,Is the airplane gray or red?,False,0
no,,Are there any fences?,False,0
no,yes,Are there cabinets in the scene?,False,0
no,yes,Is the white vehicle to the right of the vehicle that is driving down the street?,False,0
laptop,toaster,What device is to the left of the shelf the blender is on?,False,0
no,yes,Is there a fence to the left of the green train?,False,0
orange,apple,What kind of fruit is to the right of the skateboard on the left side of the picture?,False,0
no,yes,Are there any motorbikes?,False,0
no,yes,Are there any refrigerators?,False,0
no,yes,Is she looking at a laptop?,True,0
yes,,Is there any rice to the left of the bread?,False,0
no,yes,Are the black flags on the left side of the picture?,False,0
wood,,What is the utensil to the right of the plate made of?,False,0
yes,yes,Is there either any boat or flag in this picture?,False,1
no,,Are there any computers to the left of the device that the wall is behind of?,False,0
green,green,Is the vest green or brown?,False,1
concrete,cement,"Which material is the sidewalk made of, cement or cobblestone?",False,0
top,bottom,"In which part is the bread, the bottom or the top?",False,0
no,yes,Are there cones on the street?,False,0
yes,yes,Do you see any plates there?,False,1
yes,,Are there horses in the picture?,False,0
no,yes,Are there any shelves to the right of the toy?,False,0
no,yes,Does the man t-shirt appear to be brown?,True,0
no,yes,Is the purple bag to the right of the woman that is holding the umbrella?,False,0
yes,yes,Are there either any dark cars or umbrellas in the photo?,False,1
yes,yes,Is the car in the bottom of the picture?,False,1
yes,,Are there any plates in the picture?,False,0
left,left,Is the woman to the right or to the left of the car on the road?,False,1
yes,,Is the round table made of wood?,False,0
no,,Are there tables in this photograph that are square?,False,0
yes,yes,Is the apple sitting on a counter?,False,1
yes,yes,Is there any grass in the scene?,False,1
yes,yes,Do you see any grass there that is dry?,False,1
no,,Is there grass in the image that is not tall?,False,0
yes,yes,Is there a door in this image?,False,1
no,yes,Does the van look red?,False,0
train,bus,What kind is this vehicle?,False,0
no,,Do you see any fence to the right of the man the backpack is on?,False,0
no,yes,Is the fridge to the right of a bottle?,False,0
black,,What is the color of the hat?,False,0
yes,yes,Is the TV white and small?,True,1
no,yes,Are there trucks on the street?,False,0
no,,Do you see both bowls and tables?,False,0
egg,onions,What is on the potatoes in this image?,False,0
black,white,Does the cap appear to be white or black?,False,0
yes,yes,Are there chairs or plates that are white?,False,1
man,riding horse,Who is riding the horse?,True,0
yes,yes,Do you see wetsuits in the picture that are black?,False,1
no,yes,Are there buses in the picture?,False,0
yes,yes,Are there any gray cars or fences?,False,1
yes,yes,Is the baby elephant in front of the log that looks black and dark?,False,1
yes,,Is there any sand in this photograph that is brown?,False,0
no,yes,Are there any buses or jeeps?,False,0
yes,yes,Are there any clocks that are gold?,False,1
right,left,Is the boy to the right or to the left of the glasses the lady is wearing?,False,0
table,chair,Which kind of furniture is the orange on?,False,0
no,yes,Are there suitcases to the left of the bag the person is wearing?,False,0
yes,yes,Is there a door or a window in this scene?,False,1
no,yes,Are there any buses or clocks?,False,0
yes,,Is this picture showing a field?,False,0
yes,,Are the donuts to the right of the crab that is to the right of the cups?,False,0
yes,yes,Is the white device to the right of the blue boxes?,False,1
no,yes,Do you see men to the right of the bench on the right?,False,0
no,yes,Does the Wii have a different color than the wire?,False,0
yes,,Are there any open sandwiches in the scene?,False,0
yes,,Is the hat black?,False,0
right,left,Is the blue couch to the left or to the right of the blue object that is on top of the end table?,False,0
no,,Is there any cheese in the image?,False,0
no,yes,Are there any boys on the baseball field?,False,0
yes,babies,Do you see skateboarders or babies?,False,0
yes,yes,Is it outdoors?,False,1
no,yes,Is the surfboard to the left of a boy?,False,0
no,yes,Are there either fire trucks or trailers?,False,0
no,yes,Are there any trays to the right of the clear bowl?,False,0
no,yes,Is there a mirror to the right of the person on the bus?,False,0
yes,,Does the onion look grilled and brown?,False,0
yes,yes,Is there either a fence or a ball in the image?,False,1
no,yes,Are there both chimneys and fences in the picture?,False,0
bottom,pepperoni,Is the pepperoni in the top part or in the bottom of the photo?,False,0
no,yes,Does the logo on the front of the suitcase have red color?,False,0
no,yes,Are there any towers to the left of the people that are walking on the sidewalk?,False,0
no,,Are there either mannequins or cans in this image?,False,0
no,yes,Are there fences in this picture?,False,0
yes,,Is there a bat that is black?,False,0
no,yes,Do you see either any fences or cars there?,False,0
man,rider,Who is on the bicycle?,False,0
cabinet,kitchen,What kind of furniture is to the right of the napkin on the table?,False,0
yes,yes,Do you see bags that are large?,False,1
no,yes,Does the clear sky have white color?,False,0
lady,man truck,Who is standing?,True,0
yes,yes,Is there a bear that is not adult?,False,1
yes,,Are the black glasses on the right?,False,0
no,yes,Is the vehicle above the bridge white and short?,False,0
cloudy,sunny,What weather conditions appear in this picture?,False,0
no,yes,Is the bowl above a lamp?,False,0
no,yes,Is there a can in the picture?,False,0
no,yes,Do you see any cabinet above the sink?,False,0
yes,yes,Are there any bottles?,False,1
